Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2019-01-01,4,Santa Fe,312072.0,382254.0,27464.0,26.978,20.401,769.169
2019-01-01,4,Santiago Del Estero,24682.0,71239.0,200.0,2.81,4.657,103.588
2019-01-01,4,Tierra Del Fuego,13261.0,26821.0,0.0,0.0,310.0,40.392
2019-01-01,4,Tucumán,146985.0,11012.0,39574.0,725.0,348.0,198.644
2019-01-01,3 *,Buenos Aires,1277249.0,2144956.0,425386.0,85.572,27.07,3.960.233
2019-01-01,3 *,Capital Federal,300288.0,1080973.0,24900.0,3.895,31.155,1.441.211
2019-01-01,3 *,Catamarca,24349.0,5543.0,13.0,244.0,2.251,32.400
2019-01-01,3 *,Chaco,50416.0,49156.0,8063.0,5.224,1.592,114.451
2019-01-01,3 *,Chubut,37298.0,27090.0,1917.0,15.149,7.551,89.005
2019-01-01,3 *,Córdoba,307780.0,399231.0,30064.0,37.277,8.701,783.053
2019-01-01,3 *,Corrientes,53344.0,50230.0,1888.0,2.458,4.839,112.759
2019-01-01,3 *,Entre Ríos,94947.0,96305.0,12888.0,18.53,15.432,238.102
2019-01-01,3 *,Formosa,21777.0,8359.0,1476.0,14.292,162.0,46.066
2019-01-01,3 *,Jujuy,33110.0,35742.0,274.0,812.0,16.638,86.576
2019-01-01,3 *,La Pampa,19469.0,52941.0,4994.0,11.462,1.962,90.828
2019-01-01,3 *,La Rioja,14390.0,34984.0,11.0,251.0,41.0,49.677
2019-01-01,3 *,Mendoza,148640.0,54312.0,6865.0,12.975,1.545,224.337
2019-01-01,3 *,Misiones,54493.0,65872.0,829.0,419.0,12.27,133.883
2019-01-01,3 *,Neuquén,43347.0,60484.0,5560.0,13.512,2.518,125.421
2019-01-01,3 *,Río Negro,67478.0,37425.0,9739.0,10.806,18.847,144.295
2019-01-01,3 *,Salta,65799.0,74329.0,733.0,1.58,9.394,151.835
2019-01-01,3 *,San Juan,51670.0,7425.0,1227.0,7.241,5.535,73.098
2019-01-01,3 *,San Luis,13037.0,10561.0,350.0,62.286,36.466,122.700
2019-01-01,3 *,Santa Cruz,10663.0,17056.0,969.0,6.544,2.738,37.970
2019-01-01,3 *,Santa Fe,319396.0,377171.0,18690.0,24.269,21.408,760.934
2019-01-01,3 *,Santiago Del Estero,24556.0,71198.0,219.0,2.759,34.4,133.132
2019-01-01,3 *,Tierra Del Fuego,19790.0,26659.0,651.0,0.0,1.487,48.587
2019-01-01,3 *,Tucumán,150918.0,12089.0,116.0,684.0,324.0,164.131
2019-01-01,2 *,Buenos Aires,1284658.0,2079900.0,382971.0,75.24,32.929,3.855.698
2019-01-01,2 *,Capital Federal,309937.0,1061358.0,36082.0,3.962,4.281,1.415.620
2019-01-01,2 *,Catamarca,25682.0,5543.0,13.0,146.0,2.251,33.635
2019-01-01,2 *,Chaco,50765.0,47448.0,4203.0,4.727,1.591,108.734
2019-01-01,2 *,Chubut,37313.0,26338.0,1917.0,14.443,7.545,87.556
2019-01-01,2 *,Córdoba,314768.0,388254.0,23023.0,33.847,15.236,775.128
2019-01-01,2 *,Corrientes,53835.0,47431.0,1701.0,2.444,6.138,111.549
2019-01-01,2 *,Entre Ríos,97081.0,91081.0,12764.0,17.369,17.529,235.824
2019-01-01,2 *,Formosa,21916.0,8686.0,1382.0,14.292,162.0,46.438
